t_rel_s,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6
0.0159,-1.75136620570494,-1.932857202202218,1.8156042383286743,-1.4698390895000142,-1.5790230933628981,2.9059922572265
0.0161,-1.7513431196592626,-1.9328614640625814,1.816209706854595,-1.469961565622605,-1.5789993850926929,2.9057055359345423
0.0163,-1.7513211032872484,-1.9328656145168224,1.8167562586740107,-1.4700777608932951,-1.5789765326797498,2.905428982960797
0.0184,-1.7513000907911749,-1.9328696562638648,1.817249028641215,-1.4701879289502813,-1.5789544886679714,2.90516304186102
0.0224,-1.7512800213506736,-1.9328735919580602,1.8176929074678592,-1.470292325962618,-1.5789327596573945,2.9049080005255807
0.0265,-1.7512608386842272,-1.9328774242081554,1.8180924926988575,-1.4703912081085007,-1.5789113600410698,2.9046640111115307
0.0306,-1.751242490654476,-1.9328811555764467,1.8184520615321784,-1.4704848294754644,-1.578890302428577,2.904431108981193
0.0344,-1.7512244494858888,-1.932884788578097,1.8190671457897343,-1.4705734481870298,-1.578907960317021,2.904207506688649
0.0385,-1.7512071721448896,-1.9328883256806126,1.8196241848950332,-1.4706573010883277,-1.5789250290950725,2.903994837923146
0.0427,-1.7511906154605257,-1.9328917693034589,1.8201279438875209,-1.4707366269220696,-1.5789415376258085,2.9037928935175885
0.0465,-1.7511747392935735,-1.932895121817807,1.820583022501234,-1.4708116572505938,-1.5789576474092328,2.903601407936101
0.0506,-1.751159506287713,-1.9328983855464006,1.820993793519684,-1.4708826158105235,-1.5789734783477518,2.903420071250783
0.0545,-1.7511448816438744,-1.9329015627635286,1.821364364223138,-1.4709497180510913,-1.5789890257207946,2.9032485396586556
0.0584,-1.7511308329153474,-1.9329046556951008,1.821698555534542,-1.4710131708282914,-1.5790042857039785,2.9030864446194737
0.0624,-1.7511173298215235,-1.932907666518809,1.8219998944055,-1.471073172230164,-1.5790192553102413,2.9029334007121035
0.0663,-1.7511043396379773,-1.9329105973643728,1.8224129653225063,-1.4711299115870098,-1.5789960731149575,2.902788994863829
0.0705,-1.751091840548198,-1.9329134503138576,1.822786807310076,-1.4711835692659485,-1.5789737209652592,2.9026528451502505
0.0744,-1.7510798078006073,-1.9329162274020582,1.8231249835854852,-1.4712343170037685,-1.5789520757007958,2.902524551462344
0.0783,-1.7510682182169799,-1.9329189306169423,1.8234308106566632,-1.4712823179854906,-1.5789307464378306,2.9024037176037574
0.0824,-1.75105705007476,-1.9329215619001474,1.8237073533196848,-1.4713277270492569,-1.578909746610991,2.9022899543814025
0.0863,-1.751046282999372,-1.9329241231475238,1.8239574271503711,-1.4713706909275648,-1.5788890879463668,2.9021828820531628
0.0903,-1.7510358978655782,-1.9329266162097194,1.8241836062830035,-1.4714113485158347,-1.578868780558315,2.9020821322211496
0.0945,-1.7510258767070324,-1.932929042892801,1.824388234749906,-1.471449831160688,-1.5788488330450459,2.9019873492508106
0.0987,-1.75101620263327,-1.9329314049589084,1.8245734400548883,-1.4714862629615404,-1.5788292525825118,2.901898191288008
0.1024,-1.751006859711896,-1.9329337041269348,1.8247424598483657,-1.4715207610808803,-1.5788096497868358,2.901645941836819
0.1065,-1.7509978330246787,-1.9329359420732308,1.8248956043499893,-1.4715534360552318,-1.5787904293158859,2.9014055441029076
0.1105,-1.750989108475192,-1.932938120432329,1.8250344518395551,-1.471584392110445,-1.5787715950815966,2.901176889733655
0.1144,-1.7509806727725583,-1.9329402407976846,1.8251604235959267,-1.4716137274710523,-1.5787531498717815,2.9009597858882143
0.1186,-1.7509725133766527,-1.9329423047224303,1.825274798054001,-1.4716415346650533,-1.578735095433851,2.900753971089447
0.1226,-1.750964618447544,-1.9329443137201405,1.8253787241565314,-1.471667900821536,-1.5787174325552173,2.9005591293484527
0.1264,-1.7509569767988078,-1.9329462692656036,1.8254732338072834,-1.47169290795972,-1.578700161140272,2.900374902606294
0.1305,-1.7509495778543787,-1.9329481727956013,1.8255592533841443,-1.4717166332683553,-1.5786832802838637,2.90020090157317
0.1345,-1.7509424116082484,-1.93295002570969,1.8254065196049531,-1.4717391493747254,-1.5786245066350821,2.899766584112364
0.1386,-1.7509354685887344,-1.9329518293709846,1.8252685024066093,-1.4717605246027055,-1.5785662750783178,2.899349566675883
0.1426,-1.7509287398230462,-1.9329535851069413,1.8251434969387779,-1.4717808232196383,-1.5785086926083143,2.898950736074628
0.1465,-1.7509222168059835,-1.9329552942101385,1.8250300277036136,-1.4718001056718222,-1.5784518550307465,2.898570636353235
0.1505,-1.7509158914705167,-1.9329569579390553,1.8249268135244316,-1.4718184288086453,-1.578395847442738,2.8982095179242866
0.1544,-1.7509097561604785,-1.9329585775188436,1.8248327384898955,-1.4718358460954717,-1.5783407447494762,2.897867383956233
0.1585,-1.7509038036051963,-1.9329601541420969,1.8247468277502032,-1.4718524078154773,-1.578286612206923,2.897544033221787
0.1625,-1.7508980268959127,-1.9329616889696093,1.8246682272721,-1.4718681612607054,-1.578233505981631,2.897239098938944
0.1665,-1.7509319518936384,-1.9330444756271712,1.8245942486242714,-1.4719464275992356,-1.5782282545530903,2.8964411674976196
0.1708,-1.7509654109702177,-1.9331275293320227,1.8245263356956796,-1.4720216216275208,-1.5782231807429759,2.895671987906243
0.1746,-1.7509983718062592,-1.9332105722550461,1.8244638873437273,-1.4720938149105467,-1.5782182779287701,2.8949356817271674
0.1786,-1.751030805952224,-1.933293349119525,1.824406371748257,-1.4721630844729743,-1.5782135397530228,2.8942351313156087
0.1825,-1.751062688616816,-1.9333756270122402,1.8243533173301343,-1.472229511628812,-1.5782089601125482,2.893572146656917
0.1865,-1.7510939984544676,-1.9334571949776953,1.82430430499891,-1.4722931809393232,-1.5782045331480268,2.892947631479402
0.1906,-1.751124717353701,-1.933537863428448,1.8242589615150273,-1.4723541792906663,-1.5782002532340014,2.892361741641284
0.1945,-1.75115483022791,-1.9336174634030758,1.8242169537898318,-1.4724125950825422,-1.5781961149692565,2.8918140311327143
0.1985,-1.7512742584502154,-1.9337474027956787,1.8240125980699011,-1.4724057791456493,-1.5781465125792928,2.89069256846699
0.2027,-1.7513943404531909,-1.9338766413821942,1.823825391561327,-1.4723993162453795,-1.5780979055316218,2.889628804829728
0.2065,-1.7515145668303356,-1.9340047369603965,1.8236534704828458,-1.4723931840698232,-1.5780503287303476,2.888627167064545
0.2104,-1.751634471801832,-1.9341312959877623,1.8234952135356903,-1.4723873619607308,-1.5780038105773078,2.8876899779517746
0.2146,-1.7517536331301147,-1.934255971927437,1.8233492054647051,-1.472381830774059,-1.5779583734604141,2.8868178478178073
0.2186,-1.751871671475168,-1.9343784631945828,1.823214206794822,-1.4723765727536429,-1.5779140342298796,2.8860100365289765
0.2225,-1.751988249277078,-1.934498510795696,1.823089128583298,-1.472371571416628,-1.5778708046594558,2.8852647757521113
0.2267,-1.7521030692501123,-1.9346158957450403,1.8229730112661806,-1.472366811449459,-1.5778286918903808,2.8845795469786535
0.2304,-1.7522158725677044,-1.934730436333239,1.8228650068626544,-1.4723622786133548,-1.5777876988562614,2.88395131486589
0.2345,-1.752327575704661,-1.934842599003574,1.822580135722697,-1.4723008388751073,-1.5777473315512016,2.883233086703308
0.2383,-1.7524368492934892,-1.9349516481526692,1.822322253497818,-1.4722428992343604,-1.5777080878879988,2.8825751008183347
0.2425,-1.7525435312266628,-1.9350574944386332,1.8220883058755974,-1.472188188697788,-1.5776699611773441,2.88197381627319
0.2464,-1.7526474895818396,-1.9351600749374573,1.8218756639236457,-1.4721364617725143,-1.5776329419027313,2.8814254898154537
0.2503,-1.752748620179171,-1.935259350450218,1.8216820556263655,-1.4720874956785899,-1.5775970180467904,2.88092630834391
0.2544,-1.752846844157598,-1.9353553029255224,1.821505509880185,-1.4720410879073582,-1.5775621753955311,2.8804724891293256
0.2585,-1.752942105602224,-1.9354479330156904,1.8213443104359386,-1.4719970540778653,-1.5775283978209034,2.88006035316543
0.2626,-1.7530343692485686,-1.9355372577795888,1.8211969578302691,-1.471955226050734,-1.5774956675422454,2.8796863766201217
0.2665,-1.7530629885751279,-1.935623315027724,1.8209495125312298,-1.4718214074308922,-1.5775142712837313,2.879613091785409
0.2706,-1.7530903729125402,-1.9357061417102897,1.8206810986469464,-1.4716974452029505,-1.5775320663150607,2.879547135212603
0.2747,-1.7531165767614332,-1.9357857918763157,1.8203952717735319,-1.471582427612102,-1.5775490993088666,2.8794876988977833
0.2786,-1.7531416525108625,-1.9358623283674177,1.820095496774471,-1.4714755455137545,-1.577565413605458,2.8794340702184087
0.2826,-1.7531656504689928,-1.9359358213043012,1.8197850909867708,-1.4713760788750925,-1.5775810494905482,2.8793856201863237
