t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
0.0313,-1.7506795772367896,-1.933019465941011,1.8250170142592825,-1.47223257443605,-1.5795958928636225,2.900350634879793,,,,,,
0.0645,-1.7506794269062138,-1.933019465941011,1.8265664867498301,-1.4722325759700308,-1.5780924367747746,2.900350326595524,0.00000,0.00000,0.04676,-0.00000,0.04537,-0.00001
0.0985,-1.7506794254029079,-1.933019465941011,1.8265819814747357,-1.4722325759853705,-1.5780774022138861,2.8973130415526676,0.00000,0.00000,0.00046,-0.00000,0.00044,-0.08920
0.1310,-1.7506794253878748,-1.933019465941011,1.8235448544619715,-1.472232575985524,-1.5765586108882708,2.8927267457622188,0.00000,0.00000,-0.09351,-0.00000,0.04676,-0.14121
0.1645,-1.7521980663677315,-1.9360567479010249,1.8235144831918437,-1.4737512169655325,-1.5780620639550211,2.8850876779042807,-0.04538,-0.09076,-0.00091,-0.04538,-0.04492,-0.22826
0.1980,-1.7552505347375431,-1.937605761700632,1.820476897519129,-1.4722477623953256,-1.5765584575056821,2.8774180823256676,-0.09116,-0.04626,-0.09072,0.04490,0.04490,-0.22905
0.2310,-1.7552810594212414,-1.937621251838628,1.8158905987223817,-1.470714086869617,-1.5765434214411886,2.8758227453898733,-0.00092,-0.00047,-0.13860,0.04635,0.00045,-0.04821
0.2646,-1.7537627236880713,-1.937621406740008,1.8112888127943936,-1.467661468154346,-1.5780619120605501,2.878844073980529,0.04526,-0.00000,-0.13718,0.09100,-0.04527,0.09007
0.2979,-1.7522288993507336,-1.9376214082890217,1.8066868719950933,-1.46459366000718,-1.5765584559867374,2.880392928246442,0.04611,-0.00000,-0.13834,0.09222,0.04520,0.04656
0.3312,-1.7522135611073602,-1.9376214083045118,1.803603570627087,-1.4630443409457012,-1.5750247804459925,2.8819270577691087,0.00046,-0.00000,-0.09243,0.04645,0.04598,0.04599
0.3645,-1.7522134077249263,-1.9376214083046668,1.8050913785934135,-1.46151020677508,-1.573490802710578,2.881942399064336,0.00000,-0.00000,0.04475,0.04615,0.04614,0.00046
0.3991,-1.752213406191102,-1.9376214083046683,1.8035876156930701,-1.4614948654333737,-1.573475462933224,2.881942552477288,0.00000,-0.00000,-0.04340,0.00044,0.00044,0.00000
0.4312,-1.7522134061757637,-1.9376214083046683,1.8035725780640668,-1.4614947120199566,-1.5734753095354503,2.8819425540114176,0.00000,0.00000,-0.00047,0.00000,0.00000,0.00000
0.4647,-1.7506947651956035,-1.9376214083046683,1.8035724276877767,-1.4599760695058155,-1.5734753080014725,2.8819425540267587,0.04524,0.00000,-0.00000,0.04524,0.00000,0.00000
0.4979,-1.7506795787858018,-1.9376214083046683,1.806609708144027,-1.459960883080674,-1.5734753079861328,2.8834611950069178,0.00046,0.00000,0.09160,0.00046,0.00000,0.04580
0.5312,-1.7506794269217039,-1.9376214083046683,1.8096773629086031,-1.4614793721964296,-1.5734753079859793,2.8834763814167195,0.00000,0.00000,0.09195,-0.04552,0.00000,0.00046
0.5677,-1.7506794254030629,-1.9391400492846744,1.8142639623962693,-1.4599759161075803,-1.5749939489659848,2.8834765332808177,0.00000,-0.04167,0.12586,0.04125,-0.04167,0.00000
0.5978,-1.7506794253878764,-1.9406738766744815,1.8173471103511598,-1.4614795225266988,-1.575009135375785,2.8819578938194526,0.00000,-0.05096,0.10243,-0.04996,-0.00050,-0.05045
0.6310,-1.7521980663677315,-1.9406892149483796,1.818896582810715,-1.4630131995708966,-1.5750092872398829,2.881942707424839,-0.04571,-0.00046,0.04664,-0.04616,-0.00000,-0.00046
0.9960,-1.75221325277753,-1.9406893683311186,1.8204307185153177,-1.4660658183013522,-1.5750092887585239,2.8834611965408987,-0.00004,-0.00000,0.00420,-0.00836,-0.00000,0.00416
0.9966,-1.752213404641628,-1.940689369864946,1.8219647008523703,-1.4676149854686633,-1.5734906477937034,2.883476381432059,-0.00023,-0.00000,2.32969,-2.35275,2.30639,0.02306
0.9972,-1.752213406160269,-1.9406893698802843,1.8219800406757407,-1.4676304771403363,-1.5749941023640621,2.881957892300965,-0.00000,-0.00000,0.02470,-0.02495,-2.42110,-2.44531
0.9978,-1.7537320471554616,-1.9406893698804375,1.8219801940739746,-1.4721865549970736,-1.5750091369097656,2.875868143489626,-2.57205,-0.00000,0.00026,-7.71641,-0.02546,-10.31392
0.9984,-1.7537472335654134,-1.940689369880439,1.8250174775679708,-1.472232115775641,-1.5765279282352296,2.874288605021507,-0.02859,-0.00000,5.71768,-0.08577,-2.85912,-2.97348
0.9987,-1.75526602640952,-1.9452452928204598,1.8265664913829172,-1.4752698533434405,-1.5780617571284907,2.8727541686568183,-4.88520,-14.65412,4.98240,-9.77088,-4.93356,-4.93551
0.9989,-1.756799855317968,-1.951365415969887,1.832656545441094,-1.478337512679132,-1.5795957363974302,2.869701542333159,-5.85237,-23.35149,23.23677,-11.70474,-5.85294,-11.64738
0.9992,-1.7568151936070524,-1.9590198221014152,1.8403106508817095,-1.484442753192516,-1.5826483581501332,2.8696710160699226,-0.05749,-28.69161,28.69049,-22.88475,-11.44238,-0.11442
0.9995,-1.7568153469899435,-1.9651709300827573,1.8479803968361495,-1.48905972853767,-1.5826788843676602,2.86967071080729,-0.00055,-21.94551,27.36361,-16.47214,-0.10891,-0.00109
0.9997,-1.7568153485237723,-1.9682697231225845,1.8586875811557417,-1.4951804622111489,-1.5826791896298356,2.869670707754664,-0.00001,-12.33326,42.61481,-24.36064,-0.00121,-0.00001
1.0000,-1.7568153485391105,-1.9698193520329899,1.8679064988789784,-1.4997975924879041,-1.5826791926824573,2.8711893487041436,-0.00000,-6.28138,37.36864,-18.71541,-0.00001,6.15577
1.0310,-1.755296707559257,-1.971353489302101,1.877110533936251,-1.5028810457506852,-1.5841978336929905,2.8712045351136384,0.04895,-0.04945,0.29666,-0.09939,-0.04895,0.00049
1.0646,-1.7552815211494583,-1.972887471654798,1.889351702126878,-1.5105050851833468,-1.585731661083102,2.871204686977733,0.00045,-0.04572,0.36486,-0.22724,-0.04572,0.00000
1.0979,-1.7552813692853604,-1.972902811478325,1.8955486777288117,-1.513618607537687,-1.5857469993570033,2.8712046884963742,0.00000,-0.00046,0.18611,-0.09351,-0.00046,0.00000
1.1312,-1.7552813677667194,-1.9744216058565671,1.9001665704248514,-1.515168383741237,-1.5857471527397422,2.869686047531555,0.00000,-0.04560,0.13866,-0.04653,-0.00000,-0.04560
1.1646,-1.75680000873154,-1.9759554347803565,1.9078059542518455,-1.5151838815032725,-1.5872657952535765,2.8696708611219064,-0.04542,-0.04587,0.22847,-0.00046,-0.04542,-0.00045
1.1978,-1.7568151951411883,-1.9820453369896214,1.9154755529901495,-1.5151840364808928,-1.5887996226587218,2.86967070925781,-0.00046,-0.18332,0.23088,-0.00000,-0.04617,-0.00000
1.2312,-1.7568153470052847,-1.9866621589517348,1.9201081719175528,-1.5151840380306691,-1.5903336019127798,2.869670707739169,-0.00000,-0.13838,0.13886,-0.00000,-0.04598,-0.00000
1.2644,-1.7568153485239257,-1.989745609131369,1.9186358571268203,-1.515184038046167,-1.5918675826853275,2.8696707077239827,-0.00000,-0.09269,-0.04426,-0.00000,-0.04611,-0.00000
1.2978,-1.758333989519119,-1.9912950846131723,1.9155838520188992,-1.5151840380463217,-1.5918829224930529,2.869670707723831,-0.04555,-0.04647,-0.09154,-0.00000,-0.00046,-0.00000
1.3310,-1.759867816909078,-1.9913105793679904,1.9125160500078067,-1.5151840380463233,-1.5918830758911302,2.869670707723829,-0.04619,-0.00047,-0.09239,-0.00000,-0.00000,-0.00000
1.3644,-1.7644390781229975,-1.9913107343155385,1.9094480900276822,-1.5151840380463235,-1.591883077425111,2.869670707723829,-0.13672,-0.00000,-0.09176,-0.00000,-0.00000,0.00000
1.3978,-1.7705593546551637,-1.9928293768450207,1.9048614874878607,-1.5136653970663168,-1.5918830774404507,2.869670707723829,-0.18365,-0.04557,-0.13763,0.04557,-0.00000,0.00000
1.4310,-1.775176480360506,-1.9928445632703156,1.9002596985224418,-1.5136502106565166,-1.591883077440604,2.869670707723829,-0.13883,-0.00046,-0.13837,0.00046,-0.00000,0.00000
1.4644,-1.7767412925975665,-1.9943633561145755,1.8956577576927673,-1.5136500587924187,-1.5918830774406056,2.869670707723829,-0.04690,-0.04552,-0.13793,0.00000,-0.00000,0.00000
1.4979,-1.7797942226799501,-1.9943785440430182,1.8895371743644431,-1.5136500572737777,-1.5918830774406056,2.869670707723829,-0.09111,-0.00045,-0.18265,0.00000,0.00000,0.00000
1.5319,-1.7813433929607807,-1.9943786959223027,1.8864386865711467,-1.5136500572585911,-1.5918830774406056,2.868152066743821,-0.04559,-0.00000,-0.09118,0.00000,0.00000,-0.04469
1.5647,-1.784396166623603,-1.9943786974410953,1.8833704197332002,-1.5121314162784327,-1.5918830774406056,2.869655521314029,-0.09306,-0.00000,-0.09353,0.04629,0.00000,0.04583
1.5985,-1.7874639763202442,-1.9928600564762764,1.8818210960848138,-1.5136348708486378,-1.5918830774406056,2.868151914879723,-0.09078,0.04494,-0.04585,-0.04449,0.00000,-0.04449
1.6311,-1.7874946544172106,-1.9928448700666281,1.8802869618683233,-1.5136499053943397,-1.5918830774406056,2.8681368788153803,-0.00094,0.00047,-0.04700,-0.00046,0.00000,-0.00046
1.6643,-1.7890136021781873,-1.9928447182025317,1.8802716205261585,-1.5136500557397967,-1.5918830774406056,2.8681367284547368,-0.04581,0.00000,-0.00046,-0.00000,0.00000,-0.00000
1.6989,-1.789028791655797,-1.9928447166838907,1.8802714671127367,-1.5136500572432514,-1.5903644364605987,2.86813672695113,-0.00044,0.00000,-0.00000,-0.00000,0.04389,-0.00000
1.7311,-1.79054758453058,-1.9913260756886975,1.8802714655786026,-1.5151686982382926,-1.5903492500507985,2.8681367269360942,-0.04718,0.04717,-0.00000,-0.04717,0.00047,-0.00000
1.7651,-1.790562772459328,-1.9913108892787457,1.8802714655632613,-1.515183884648243,-1.5903490981867006,2.8681367269359437,-0.00045,0.00045,-0.00000,-0.00045,0.00000,-0.00000
1.7978,-1.7920815653186222,-1.9913107374146461,1.8802714655631079,-1.5151840365123426,-1.5903490966680596,2.8681367269359423,-0.04655,0.00000,-0.00000,-0.00000,0.00000,-0.00000
1.8310,-1.7920967532472152,-1.9913107358960052,1.8772341836030924,-1.5151840380309836,-1.5918677376328803,2.8681367269359423,-0.00046,0.00000,-0.09146,-0.00000,-0.04573,0.00000
1.8645,-1.795134187086514,-1.9897920949008117,1.8696106058834585,-1.516702679026177,-1.5918829240425285,2.8666180859559365,-0.09065,0.04532,-0.22752,-0.04532,-0.00045,-0.04532
1.8978,-1.7951645614249072,-1.9897769084908599,1.8695343701062621,-1.5167178654361289,-1.591883075906625,2.866602899546136,-0.00091,0.00046,-0.00229,-0.00046,-0.00000,-0.00046
1.9312,-1.796683506148298,-1.9897767566267603,1.8649776848084698,-1.5151993763202214,-1.591883077425266,2.8650841067020303,-0.04546,0.00000,-0.13637,0.04544,-0.00000,-0.04545
1.9644,-1.799735977555546,-1.9897767551081194,1.8618948359954783,-1.5151841914290625,-1.5918830774404522,2.8589943548535635,-0.09209,0.00000,-0.09301,0.00046,-0.00000,-0.18373
1.9978,-1.802803784229632,-1.9897767550929328,1.858826725547335,-1.5151840395801508,-1.591883077440604,2.8543775343950566,-0.09162,0.00000,-0.09163,0.00000,-0.00000,-0.13788
2.0311,-1.807390385236393,-1.989776755092781,1.8587960444428535,-1.5151840380616617,-1.5918830774406056,2.848256802270446,-0.13779,0.00000,-0.00092,0.00000,-0.00000,-0.18388
2.0645,-1.8119921741864804,-1.9897767550927794,1.8587957376318087,-1.5151840380464767,-1.5918830774406056,2.842121031029172,-0.13802,0.00000,-0.00001,0.00000,0.00000,-0.18403
2.0978,-1.8181127559960093,-1.9897767550927794,1.8587957345636983,-1.5151840380463248,-1.5918830774406056,2.8375037503767393,-0.18355,0.00000,-0.00000,0.00000,0.00000,-0.13847
2.1311,-1.8257671667141384,-1.9897767550927794,1.858795734533017,-1.5151840380463235,-1.5934017184206126,2.831383013650187,-0.23017,0.00000,-0.00000,0.00000,-0.04567,-0.18405
2.1652,-1.8364741976813674,-1.9897767550927794,1.8587957345327104,-1.5151840380463235,-1.596454186790426,2.8252472423628956,-0.31352,0.00000,-0.00000,0.00000,-0.08938,-0.17967
