mark_wall_s,source,loop,playback_t_s,source_t_rel_s,source_sample_t_rel_s,sample_index,q1,q2,q3,q4,q5,q6
1783086180.348308,command,0,6.760121,6.776021,6.774500,1659,-2.083662546,-1.758527217,2.262612021,-2.001384465,-1.575122706,2.691922201
1783086184.479681,command,0,10.902175,10.918075,10.914500,2694,-2.306976907,-1.653423136,1.966388115,-1.881365996,-1.609469247,2.611742295
1783086186.326605,command,0,12.739250,12.755150,12.754400,3154,-1.652650896,-1.739590493,1.920277753,-1.755864686,-1.558538912,3.130132191
1783086187.026671,command,0,13.442658,13.458558,13.458500,3330,-1.406394427,-1.572361693,1.826706174,-1.833924032,-1.561660235,3.195895749
1783086188.076661,command,0,14.489254,14.505154,14.504300,3591,-1.270370092,-1.377043084,1.747931740,-1.922251373,-1.566488531,3.187845589
1783086189.459964,command,0,15.882200,15.898100,15.894500,3939,-1.210044375,-1.066382356,1.687282820,-2.230173073,-1.570076055,3.063541813
1783086190.794366,command,0,17.216590,17.232490,17.230500,4273,-1.378029787,-1.177396585,1.512666350,-2.003781245,-1.633841496,3.038412682
1783086194.559864,command,0,20.976854,20.992754,20.990500,5213,-2.201410320,-1.519110203,1.936796543,-1.947110083,-1.639434358,2.628968048
1783086197.810097,command,0,24.228233,24.244133,24.242500,6026,-2.087402531,-1.517186769,1.714308018,-1.765152990,-1.633630441,2.843590661
1783086199.426762,command,0,25.843994,25.859894,25.858400,6430,-1.433533345,-1.525715385,1.757931594,-1.824893815,-1.625468656,3.144977161
1783086201.093654,command,0,27.513926,27.529826,27.526400,6847,-1.237863592,-1.288522610,1.834412908,-2.079342189,-1.627111868,3.145789023
1783086201.527964,command,0,27.949954,27.965854,27.962500,6956,-1.240795060,-1.260181291,1.800669582,-2.081214617,-1.627574150,3.139544543
1783086201.843466,command,0,28.260171,28.276071,28.274400,7034,-1.246305255,-1.240116109,1.797850124,-2.082583331,-1.627212951,3.135490995
1783086203.309759,command,0,29.727080,29.742980,29.742600,7401,-1.334865662,-1.342955238,1.781243215,-1.973994682,-1.626976014,3.121082075
1783086207.677252,command,0,34.087328,34.103228,34.103000,8491,-2.008118159,-1.479163480,1.908517106,-2.035575173,-1.630047945,2.857228823
