t_rel_s,t_wall,gello_q1,gello_q2,gello_q3,gello_q4,gello_q5,gello_q6,gello_qd1,gello_qd2,gello_qd3,gello_qd4,gello_qd5,gello_qd6,gello_grip,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,ur_q1,ur_q2,ur_q3,ur_q4,ur_q5,ur_q6,ur_qd1,ur_qd2,ur_qd3,ur_qd4,ur_qd5,ur_qd6,ur_eff1,ur_eff2,ur_eff3,ur_eff4,ur_eff5,ur_eff6,grip_cmd,grip_pos,fx,fy,fz,tx,ty,tz,tcp_x,tcp_y,tcp_z,tcp_qx,tcp_qy,tcp_qz,tcp_qw
0.0157,1783065331.1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0257,1783065331.1280,,,,,,,,,,,,,,-1.751280,-1.932874,1.817693,-1.470292,-1.578933,2.904908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0357,1783065331.1380,-1.750680,-1.933019,1.825017,-1.472233,-1.579596,2.900351,,,,,,,0.0000,-1.751224,-1.932885,1.819067,-1.470573,-1.578908,2.904208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0457,1783065331.1479,-1.750680,-1.933019,1.825017,-1.472233,-1.579596,2.900351,,,,,,,0.0000,-1.751191,-1.932892,1.820128,-1.470737,-1.578942,2.903793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0557,1783065331.1579,-1.750680,-1.933019,1.825017,-1.472233,-1.579596,2.900351,,,,,,,0.0000,-1.751145,-1.932902,1.821364,-1.470950,-1.578989,2.903249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0656,1783065331.1679,-1.750679,-1.933019,1.826566,-1.472233,-1.578092,2.900350,0.00000,0.00000,0.04676,-0.00000,0.04537,-0.00001,0.0000,-1.751117,-1.932908,1.822000,-1.471073,-1.579019,2.902933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0756,1783065331.1779,-1.750679,-1.933019,1.826566,-1.472233,-1.578092,2.900350,0.00000,0.00000,0.04676,-0.00000,0.04537,-0.00001,0.0000,-1.751080,-1.932916,1.823125,-1.471234,-1.578952,2.902525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0856,1783065331.1879,-1.750679,-1.933019,1.826566,-1.472233,-1.578092,2.900350,0.00000,0.00000,0.04676,-0.00000,0.04537,-0.00001,0.0000,-1.751057,-1.932922,1.823707,-1.471328,-1.578910,2.902290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0957,1783065331.1979,-1.750679,-1.933019,1.826566,-1.472233,-1.578092,2.900350,0.00000,0.00000,0.04676,-0.00000,0.04537,-0.00001,0.0000,-1.751026,-1.932929,1.824388,-1.471450,-1.578849,2.901987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1058,1783065331.2080,-1.750679,-1.933019,1.826582,-1.472233,-1.578077,2.897313,0.00000,0.00000,0.00046,-0.00000,0.00044,-0.08920,0.0000,-1.751007,-1.932934,1.824742,-1.471521,-1.578810,2.901646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1157,1783065331.2179,-1.750679,-1.933019,1.826582,-1.472233,-1.578077,2.897313,0.00000,0.00000,0.00046,-0.00000,0.00044,-0.08920,0.0000,-1.750981,-1.932940,1.825160,-1.471614,-1.578753,2.900960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1258,1783065331.2280,-1.750679,-1.933019,1.826582,-1.472233,-1.578077,2.897313,0.00000,0.00000,0.00046,-0.00000,0.00044,-0.08920,0.0000,-1.750965,-1.932944,1.825379,-1.471668,-1.578717,2.900559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1357,1783065331.2379,-1.750679,-1.933019,1.823545,-1.472233,-1.576559,2.892727,0.00000,0.00000,-0.09351,-0.00000,0.04676,-0.14121,0.0000,-1.750942,-1.932950,1.825407,-1.471739,-1.578625,2.899767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1456,1783065331.2479,-1.750679,-1.933019,1.823545,-1.472233,-1.576559,2.892727,0.00000,0.00000,-0.09351,-0.00000,0.04676,-0.14121,0.0000,-1.750929,-1.932954,1.825143,-1.471781,-1.578509,2.898951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
