t_rel_s,fx,fy,fz,tx,ty,tz
1.0129,-1.03468,4.54476,-1.12834,0.15761,0.06557,0.10263
1.0226,-1.08422,4.48489,-1.28516,0.16405,0.08352,0.09519
1.0328,-1.08983,4.02747,-1.37228,0.15602,0.07350,0.09820
1.0423,-1.03187,3.73723,-1.04169,0.17126,0.07213,0.09761
1.0523,-1.00296,3.96072,-1.40688,0.17337,0.06576,0.09203
1.0629,-0.93430,4.06319,-1.40069,0.16503,0.07754,0.09625
1.0725,-0.99515,3.93410,-1.47495,0.17351,0.08282,0.08818
1.0828,-0.90933,3.33518,-1.12678,0.19094,0.07709,0.08799
1.0924,-1.02060,3.54327,-1.73138,0.19423,0.07167,0.09523
1.1025,-0.87456,4.06180,-2.04579,0.17515,0.09085,0.09425
1.1124,-1.16792,3.47844,-1.43808,0.19453,0.06659,0.08376
1.1225,-0.75676,3.47417,-1.22415,0.18403,0.08345,0.08696
1.1324,-1.02272,4.31196,-1.58743,0.15863,0.07655,0.08599
1.1424,-0.85188,3.40692,-1.03521,0.18573,0.07838,0.08777
1.1524,-0.85685,3.01925,-0.55465,0.19018,0.07722,0.08721
1.1627,-0.81353,4.19391,-0.74783,0.16260,0.07980,0.08312
1.1724,-0.88483,3.05217,-0.45221,0.20459,0.08976,0.08734
1.1825,-0.66945,3.62912,-0.37810,0.18367,0.07953,0.08195
1.1926,-1.02040,3.71606,-0.63571,0.18642,0.07114,0.08553
1.2024,-0.60887,4.17899,-1.06155,0.15857,0.07815,0.07526
1.2128,-0.79425,3.42100,-0.17886,0.18381,0.08102,0.07986
1.2226,-0.89660,3.91959,-0.37331,0.18000,0.08040,0.07200
1.2325,-0.56145,4.59299,-0.93353,0.15601,0.07893,0.08061
1.2425,-0.95373,3.97812,-0.02175,0.17826,0.07434,0.07567
1.2526,-1.00633,4.01978,0.03898,0.17390,0.07076,0.07709
1.2626,-0.88847,4.35409,-0.22891,0.15827,0.07345,0.07812
1.2725,-0.91749,4.20025,-0.29405,0.16122,0.08189,0.07337
1.2824,-0.79347,3.96374,-0.04474,0.17784,0.06926,0.07729
1.2925,-0.99036,3.70883,0.05382,0.17821,0.08276,0.08132
1.3025,-0.66266,4.01021,0.13814,0.17682,0.07862,0.08774
1.3128,-0.66396,4.32658,0.05168,0.16117,0.07919,0.09331
1.3228,-0.79518,3.81853,0.71468,0.18492,0.08974,0.08887
1.3325,-1.00605,3.87256,0.69259,0.17910,0.08983,0.08907
1.3425,-0.67121,4.20607,0.30406,0.16861,0.09643,0.09465
1.3524,-1.21724,3.79525,0.31639,0.16971,0.08969,0.08855
1.3627,-0.62149,3.25658,0.68125,0.18408,0.08974,0.08942
1.3725,-1.03694,3.50687,0.41676,0.18245,0.09567,0.09097
1.3828,-0.73271,3.42145,0.04272,0.17561,0.08771,0.09379
1.3926,-1.03003,3.39378,-0.01812,0.18096,0.08696,0.08781
1.4024,-0.40599,3.46558,0.02930,0.18139,0.08402,0.09004
1.4125,-0.50271,2.97844,0.28888,0.19274,0.09507,0.08639
1.4226,-0.32329,3.67918,0.07592,0.19236,0.09139,0.09426
1.4324,-0.22276,3.89583,-0.72573,0.17716,0.09510,0.09567
1.4425,-1.18810,3.74102,-0.59583,0.17065,0.10530,0.09079
1.4527,-0.53195,3.51274,-0.46386,0.18388,0.09867,0.08975
1.4628,-0.58685,3.51024,-0.37247,0.17962,0.10180,0.09062
1.4725,-0.55815,3.73101,-0.67039,0.17350,0.09787,0.09022
1.4829,-0.37744,3.81245,-0.56978,0.17568,0.09070,0.09441
1.4927,-0.41532,3.45352,-0.27815,0.18477,0.09852,0.09255
1.5026,-0.64083,3.74640,-0.30007,0.19163,0.09246,0.08810
1.5126,-0.42242,3.92842,-0.37356,0.19052,0.10421,0.08852
1.5226,-1.18116,3.60394,-0.18368,0.18937,0.09497,0.09543
1.5325,-0.39322,3.20250,-0.11017,0.19224,0.09446,0.09100
1.5426,-0.65105,3.79221,-0.28902,0.17518,0.09433,0.09262
1.5526,-1.04065,3.88605,-0.30120,0.18510,0.09632,0.08513
1.5624,-1.03849,3.56200,-0.04137,0.18269,0.08780,0.09072
1.5725,-1.16844,3.45900,-0.00306,0.17792,0.09447,0.09132
1.5826,-0.99287,3.93498,-0.57450,0.17695,0.07368,0.09472
1.5924,-0.89353,3.83701,-0.47652,0.17689,0.08185,0.09339
1.6024,-1.33202,4.23859,-0.45337,0.16660,0.09918,0.09073
1.6124,-1.06403,3.88950,-0.39849,0.18054,0.08051,0.08817
1.6228,-1.03216,4.09759,-0.95143,0.18278,0.08168,0.09266
1.6326,-1.31766,4.10310,-1.02607,0.18703,0.08051,0.09142
1.6429,-1.19786,3.88935,-1.04728,0.17705,0.07576,0.09260
1.6525,-0.78619,3.90988,-0.80597,0.18567,0.07674,0.09539
1.6623,-0.81917,3.90390,-1.36187,0.18213,0.08614,0.09408
