t_rel_s,gello_grip,grip_cmd,grip_pos
0.0237,0.0000,,
0.0574,0.0000,,
0.0581,0.0000,,0.0118
0.0906,0.0000,,0.0118
0.1239,0.0000,,0.0118
0.1572,0.0000,,0.0118
0.1909,0.0000,,0.0118
0.2239,0.0000,,0.0118
0.2572,0.0000,,0.0118
0.2583,0.0000,,0.0118
0.2909,0.0000,,0.0118
0.3241,0.0000,,0.0118
0.3571,0.0000,,0.0118
0.3906,0.0000,,0.0118
0.4240,0.0000,,0.0118
0.4574,0.0000,,0.0118
0.4583,0.0000,,0.0118
0.4909,0.0000,,0.0118
0.5240,0.0000,,0.0118
0.5572,0.0000,,0.0118
0.5906,0.0000,,0.0118
0.6241,0.0000,,0.0118
0.6573,0.0000,,0.0118
0.6579,0.0000,,0.0118
0.6905,0.0000,,0.0118
0.7239,0.0000,,0.0118
0.7578,0.0000,,0.0118
0.7906,0.0000,,0.0118
0.8241,0.0000,,0.0118
0.8572,0.0000,,0.0118
0.8581,0.0000,,0.0118
0.8905,0.0000,,0.0118
0.9240,0.0000,,0.0118
0.9573,0.0000,,0.0118
0.9905,0.0000,,0.0118
1.0241,0.0000,,0.0118
1.0574,0.0000,,0.0118
1.0582,0.0000,,0.0118
1.0906,0.0000,,0.0118
1.1240,0.0000,,0.0118
1.1572,0.0000,,0.0118
1.1906,0.0000,,0.0118
1.2240,0.0000,,0.0118
1.2574,0.0000,,0.0118
1.2580,0.0000,,0.0118
1.2905,0.0000,,0.0118
1.3239,0.0000,,0.0118
1.3574,0.0000,,0.0118
1.3906,0.0000,,0.0118
1.4240,0.0000,,0.0118
1.4572,0.0000,,0.0118
1.4578,0.0000,,0.0118
1.4905,0.0000,,0.0118
1.5239,0.0000,,0.0118
1.5571,0.0000,,0.0118
1.5906,0.0000,,0.0118
1.6240,0.0000,,0.0118
1.6572,0.0000,,0.0118
1.6582,0.0000,,0.0118
1.6906,0.0000,,0.0118
1.7241,0.0000,,0.0118
1.7571,0.0000,,0.0118
1.7907,0.0000,,0.0118
1.8241,0.0000,,0.0118
1.8573,0.0000,,0.0118
1.8581,0.0000,,0.0118
1.8907,0.0000,,0.0118
1.9240,0.0000,,0.0118
1.9571,0.0000,,0.0118
1.9906,0.0000,,0.0118
2.0238,0.0000,,0.0118
2.0572,0.0000,,0.0118
2.0581,0.0000,,0.0118
2.0905,0.0000,,0.0118
2.1240,0.0000,,0.0118
2.1573,0.0000,,0.0118
2.1905,0.0000,,0.0118
2.2241,0.0000,,0.0118
2.2571,0.0000,,0.0118
2.2581,0.0000,,0.0118
2.2906,0.0000,,0.0118
2.3240,0.0000,,0.0118
2.3573,0.0000,,0.0118
2.3905,0.0000,,0.0118
2.4240,0.0000,,0.0118
2.4571,0.0000,,0.0118
2.4579,0.0000,,0.0118
2.4909,0.0000,,0.0118
2.5241,0.0000,,0.0118
2.5574,0.0000,,0.0118
2.5907,0.0000,,0.0118
2.6240,0.0000,,0.0118
2.6573,0.0000,,0.0118
2.6578,0.0000,,0.0118
2.6905,0.0000,,0.0118
2.7240,0.0000,,0.0118
2.7573,0.0000,,0.0118
2.7906,0.0000,,0.0118
2.8239,0.0000,,0.0118
2.8571,0.0000,,0.0118
2.8579,0.0000,,0.0118
2.8905,0.0000,,0.0118
2.9240,0.0000,,0.0118
2.9573,0.0000,,0.0118
2.9903,0.0000,,0.0118
3.0238,0.0000,,0.0118
3.0573,0.0000,,0.0118
3.0582,0.0000,,0.0118
3.0909,0.0000,,0.0118
3.1240,0.0000,,0.0118
3.1573,0.0000,,0.0118
3.1908,0.0000,,0.0118
3.2239,0.0000,,0.0118
3.2570,0.0000,,0.0118
3.2582,0.0000,,0.0118
3.2906,0.0000,,0.0118
3.3238,0.0000,,0.0118
3.3570,0.0000,,0.0118
3.3906,0.0000,,0.0118
3.4240,0.0000,,0.0118
3.4572,0.0000,,0.0118
3.4578,0.0000,,0.0118
3.4904,0.0000,,0.0118
3.5241,0.0000,,0.0118
3.5573,0.0000,,0.0118
3.5907,0.0000,,0.0118
3.6241,0.0000,,0.0118
3.6573,0.0000,,0.0118
3.6581,0.0000,,0.0118
3.6906,0.0000,,0.0118
3.7241,0.0000,,0.0118
3.7573,0.0000,,0.0118
3.7954,0.0000,,0.0118
3.8308,0.0000,,0.0118
3.8638,0.0000,,0.0118
3.8715,0.0000,,0.0118
3.8939,0.0000,,0.0118
3.9269,0.0000,,0.0118
3.9604,0.0000,,0.0118
3.9919,0.0000,,0.0118
4.0245,0.0000,,0.0118
4.0583,0.0000,,0.0118
4.0586,0.0000,,0.0118
4.0911,0.0000,,0.0118
4.1243,0.0000,,0.0118
4.1575,0.0000,,0.0118
4.1909,0.0000,,0.0118
4.2242,0.0000,,0.0118
4.2573,0.0000,,0.0118
4.2586,0.0000,,0.0118
4.2906,0.0000,,0.0118
4.3239,0.0000,,0.0118
4.3573,0.0000,,0.0118
4.3907,0.0000,,0.0118
4.4241,0.0000,,0.0118
4.4572,0.0000,,0.0118
4.4581,0.0000,,0.0118
4.4906,0.0000,,0.0118
4.5240,0.0000,,0.0118
4.5573,0.0000,,0.0118
4.5907,0.0000,,0.0118
4.6241,0.0000,,0.0118
4.6574,0.0000,,0.0118
4.6580,0.0000,,0.0118
4.6907,0.0000,,0.0118
4.7240,0.0000,,0.0118
4.7572,0.0000,,0.0118
4.7907,0.0000,,0.0118
4.8241,0.0000,,0.0118
4.8571,0.0000,,0.0118
4.8583,0.0000,,0.0118
4.8909,0.0000,,0.0118
4.9239,0.0000,,0.0118
4.9571,0.0000,,0.0118
4.9908,0.0000,,0.0118
5.0239,0.0000,,0.0118
5.0572,0.0000,,0.0118
5.0580,0.0000,,0.0118
5.0905,0.0000,,0.0118
5.1239,0.0000,,0.0118
5.1572,0.0000,,0.0118
5.1909,0.0000,,0.0118
5.2240,0.0000,,0.0118
5.2574,0.0000,,0.0118
5.2581,0.0000,,0.0118
5.2907,0.0000,,0.0118
5.3239,0.0000,,0.0118
5.3571,0.0000,,0.0118
5.3904,0.0000,,0.0118
5.4239,0.0000,,0.0118
5.4571,0.0000,,0.0118
5.4581,0.0000,,0.0118
5.4906,0.0000,,0.0118
