t_rel_s,x,y,z,qx,qy,qz,qw
0.6791,0.151884,0.409347,0.752360,0.188470,0.964095,0.177651,0.058648
0.6890,0.152119,0.409620,0.751177,0.188527,0.964334,0.176487,0.058047
0.6989,0.152316,0.409863,0.750041,0.188571,0.964558,0.175394,0.057499
0.7090,0.152457,0.410085,0.748976,0.188587,0.964772,0.174376,0.056941
0.7191,0.152598,0.410304,0.747904,0.188601,0.964983,0.173367,0.056396
0.7292,0.152675,0.410443,0.746953,0.188615,0.965176,0.172432,0.055915
0.7394,0.152714,0.410558,0.746092,0.188615,0.965341,0.171647,0.055476
0.7493,0.152704,0.410618,0.745311,0.188591,0.965501,0.170894,0.055099
0.7593,0.152646,0.410626,0.744546,0.188564,0.965655,0.170184,0.054698
0.7689,0.152560,0.410597,0.743861,0.188537,0.965791,0.169551,0.054355
0.7791,0.152442,0.410497,0.743263,0.188524,0.965905,0.169006,0.054066
0.7891,0.152314,0.410379,0.742659,0.188519,0.966017,0.168461,0.053781
0.7992,0.152201,0.410272,0.741997,0.188534,0.966138,0.167858,0.053450
0.8093,0.152072,0.410170,0.741333,0.188526,0.966262,0.167250,0.053133
0.8190,0.151975,0.410078,0.740621,0.188539,0.966389,0.166612,0.052776
0.8289,0.151940,0.410023,0.739804,0.188596,0.966531,0.165851,0.052379
0.8391,0.151889,0.410002,0.738937,0.188624,0.966684,0.165052,0.051965
0.8492,0.151907,0.410021,0.737990,0.188676,0.966847,0.164184,0.051498
0.8593,0.151967,0.410094,0.736952,0.188740,0.967028,0.163202,0.050981
0.8694,0.152021,0.410191,0.735905,0.188786,0.967211,0.162223,0.050469
0.8790,0.152103,0.410292,0.734859,0.188848,0.967388,0.161242,0.049976
0.8889,0.152229,0.410434,0.733758,0.188912,0.967576,0.160198,0.049461
0.8992,0.152376,0.410627,0.732602,0.188979,0.967772,0.159101,0.048906
0.9092,0.152521,0.410810,0.731476,0.189045,0.967961,0.158040,0.048349
0.9192,0.152722,0.411041,0.730251,0.189132,0.968163,0.156870,0.047764
