t_rel_s,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,eff1,eff2,eff3,eff4,eff5,eff6
0.6788,-2.252273,-1.661794,1.059197,-1.339342,-1.509028,2.859826,-0.000050,-0.015441,0.272680,0.002082,-0.000000,-0.008887,0.3348,-2.2586,-0.7671,-0.1873,-0.0369,-0.1447
0.6888,-2.252295,-1.661942,1.061917,-1.339243,-1.509035,2.859735,0.001227,-0.017841,0.272586,0.003936,-0.000000,-0.007285,0.4606,-2.4651,-0.9983,-0.1506,-0.0344,-0.1539
0.6988,-2.252284,-1.662164,1.064625,-1.339239,-1.509078,2.859658,0.001917,-0.023450,0.259349,0.002278,-0.000000,-0.006877,0.6658,-2.7183,-1.2414,-0.2056,-0.0256,-0.1508
0.7088,-2.252217,-1.662410,1.067185,-1.339191,-1.509047,2.859602,0.005960,-0.028735,0.256805,0.007852,-0.000000,-0.006046,0.5223,-2.3694,-0.8393,-0.1965,-0.0239,-0.1664
0.7189,-2.252153,-1.662675,1.069788,-1.339198,-1.509028,2.859539,0.008580,-0.035039,0.245573,0.001931,-0.000000,-0.005526,0.6821,-2.6323,-1.0779,-0.1884,-0.0121,-0.1478
0.7290,-2.252075,-1.663037,1.072182,-1.339092,-1.509059,2.859494,0.010669,-0.039911,0.235078,0.006769,-0.000000,-0.005692,0.5763,-2.7554,-1.1304,-0.2709,-0.0240,-0.1517
0.7392,-2.251980,-1.663451,1.074468,-1.339138,-1.509032,2.859471,0.010746,-0.044676,0.221578,0.001421,-0.000000,-0.005462,0.5624,-2.8610,-1.0922,-0.2254,-0.0255,-0.1558
0.7490,-2.251857,-1.663933,1.076610,-1.339087,-1.509082,2.859418,0.012016,-0.058146,0.222081,0.004828,-0.000000,-0.004594,0.6558,-2.7439,-0.6293,-0.1456,-0.0104,-0.1492
0.7591,-2.251745,-1.664567,1.078858,-1.339048,-1.509047,2.859366,0.010832,-0.069114,0.218539,0.002058,-0.000000,-0.004182,0.5714,-2.8145,-1.1014,-0.1950,-0.0105,-0.1585
0.7692,-2.251624,-1.665240,1.080969,-1.339023,-1.509047,2.859333,0.008774,-0.076072,0.210130,0.002177,-0.000000,-0.003692,0.5687,-2.7190,-1.1644,-0.2138,-0.0166,-0.1640
0.7789,-2.251553,-1.666033,1.083000,-1.339008,-1.509051,2.859290,0.008049,-0.077198,0.206568,0.001424,-0.000000,-0.003854,0.4655,-2.2264,-0.6206,-0.1187,-0.0068,-0.1567
0.7890,-2.251488,-1.666881,1.085096,-1.339008,-1.509063,2.859258,0.006624,-0.076516,0.222476,0.002985,-0.000000,-0.003367,0.5529,-2.4215,-0.3822,-0.0957,-0.0083,-0.1739
0.7995,-2.251440,-1.667730,1.087313,-1.338979,-1.509047,2.859246,0.005748,-0.084308,0.222622,0.001638,-0.000000,-0.001607,0.4848,-2.2469,-0.7388,-0.1844,-0.0267,-0.1565
0.8091,-2.251349,-1.668580,1.089535,-1.338959,-1.509066,2.859222,0.005882,-0.079407,0.232274,0.002293,-0.000000,-0.002673,0.4383,-1.7244,-0.2530,-0.1444,-0.0311,-0.1492
0.8191,-2.251313,-1.669424,1.091863,-1.338960,-1.509032,2.859191,0.004619,-0.079543,0.238739,0.001380,-0.000000,-0.001840,0.4371,-1.7774,-0.4288,-0.1598,-0.0366,-0.1495
0.8293,-2.251327,-1.670198,1.094343,-1.338923,-1.509036,2.859178,0.003266,-0.073461,0.255518,0.003127,-0.000000,-0.001633,0.4577,-1.7745,-0.5023,-0.1614,-0.0294,-0.1507
0.8392,-2.251256,-1.670951,1.096923,-1.338923,-1.509063,2.859178,0.002756,-0.069357,0.260102,0.000819,-0.000000,-0.001983,0.3574,-1.6810,-0.5551,-0.1833,-0.0349,-0.1576
0.8490,-2.251263,-1.671617,1.099599,-1.338931,-1.509044,2.859150,0.001929,-0.058509,0.273298,0.000353,-0.000000,-0.001562,0.3515,-1.4464,-0.2761,-0.1214,-0.0660,-0.1541
0.8591,-2.251263,-1.672175,1.102360,-1.338880,-1.509044,2.859134,0.002071,-0.058430,0.273568,0.001352,-0.000000,-0.001623,0.4273,-1.7599,-0.8169,-0.2333,-0.1219,-0.1617
0.8693,-2.251212,-1.672694,1.105115,-1.338875,-1.509063,2.859129,0.002224,-0.049877,0.273557,0.000606,-0.002885,-0.001607,0.4105,-1.6669,-0.6038,-0.2053,-0.1868,-0.1595
0.8792,-2.251200,-1.673176,1.107834,-1.338883,-1.509107,2.859114,0.002012,-0.038491,0.278025,0.000387,-0.006033,-0.001585,0.4506,-1.6220,-0.6066,-0.1974,-0.1696,-0.1633
0.8888,-2.251204,-1.673558,1.110581,-1.338887,-1.509167,2.859078,0.001028,-0.032417,0.280856,0.000330,-0.006486,-0.001374,0.4521,-1.7521,-0.4724,-0.1616,-0.1452,-0.1585
0.8991,-2.251176,-1.673842,1.113356,-1.338883,-1.509216,2.859074,0.001113,-0.031638,0.273948,0.000301,-0.003608,-0.001272,0.5008,-2.0587,-1.0670,-0.2502,-0.1506,-0.1590
0.9089,-2.251168,-1.674124,1.116060,-1.338875,-1.509223,2.859062,0.002146,-0.016658,0.282942,0.000285,-0.002912,-0.001223,0.3054,-1.7223,-0.2260,-0.1705,-0.1625,-0.1392
0.9190,-2.251179,-1.674308,1.118886,-1.338864,-1.509279,2.859050,0.000741,-0.018549,0.281031,0.000448,-0.002809,-0.000991,0.5037,-2.0134,-0.5206,-0.2089,-0.1839,-0.1580
0.9290,-2.251140,-1.674452,1.121721,-1.338839,-1.509346,2.859031,0.001696,-0.015413,0.285165,0.000330,-0.003709,-0.001097,0.4437,-2.0074,-0.9327,-0.2395,-0.1798,-0.1444
0.9391,-2.251121,-1.674592,1.124531,-1.338840,-1.509351,2.859007,0.000953,-0.013444,0.278880,0.000153,-0.004599,-0.000851,0.5014,-2.0977,-0.8356,-0.2534,-0.1805,-0.1599
0.9490,-2.251143,-1.674668,1.127343,-1.338856,-1.509414,2.859026,0.001174,-0.004857,0.298994,0.000427,-0.007378,-0.000695,0.3931,-1.7329,-0.1286,-0.1126,-0.1824,-0.1417
0.9594,-2.251128,-1.674767,1.130405,-1.338856,-1.509531,2.859049,0.000753,-0.016838,0.296426,0.000452,-0.006689,-0.000693,0.5459,-2.2541,-0.8352,-0.2478,-0.1741,-0.1484
0.9689,-2.251111,-1.674957,1.133402,-1.338803,-1.509568,2.858980,0.001991,-0.016830,0.296422,0.000402,-0.005260,-0.000696,0.4683,-2.1937,-1.2414,-0.2743,-0.1896,-0.1396
0.9788,-2.251104,-1.675101,1.136285,-1.338796,-1.509624,2.859002,0.001273,-0.014963,0.285159,0.000195,-0.006124,-0.000599,0.4971,-2.0954,-0.5720,-0.2466,-0.1780,-0.1409
0.9890,-2.251092,-1.675198,1.139171,-1.338817,-1.509694,2.858990,0.000774,-0.009938,0.299782,0.000178,-0.006154,-0.000506,0.4912,-2.0561,-0.3586,-0.1890,-0.1831,-0.1446
0.9990,-2.251080,-1.675400,1.142143,-1.338789,-1.509763,2.859025,0.000867,-0.020426,0.291984,0.000040,-0.006227,-0.000516,0.6284,-2.2730,-1.0390,-0.2891,-0.1591,-0.1507
1.0089,-2.251056,-1.675560,1.145033,-1.338796,-1.509803,2.858978,0.001674,-0.008892,0.307465,0.000357,-0.004698,-0.000493,0.3393,-1.4834,0.1321,-0.1159,-0.1813,-0.1558
1.0189,-2.251044,-1.675668,1.148116,-1.338892,-1.509859,2.858990,0.000892,-0.012055,0.322126,0.000744,-0.004807,-0.000445,0.4785,-1.5717,0.4244,-0.0844,-0.2016,-0.1469
1.0290,-2.251024,-1.675847,1.151600,-1.338757,-1.509892,2.858994,0.001639,-0.004859,0.377542,0.012114,-0.005256,-0.000417,0.4120,-1.0526,0.4812,-0.0613,-0.1836,-0.1443
